Twitter Account,Tweet,Created Date,Tweets Ago,Compound Score,Positive Score,Neutral Score,Negative Score
@BBC,"💭 ""There's always that voice in the back of your head that says you're not good enough"". 

 💪 @CarrieHFletcher on b… https://t.co/0AsBxFFiQA",Mon Mar 19 13:03:04 +0000 2018,30,-0.3412,0.0,0.888,0.112
@BBC,RT @BBCRadioScot: This must have been some buzz! 🐝🐝🐝 https://t.co/0gqtbQBN1i,Mon Mar 19 12:55:17 +0000 2018,31,0.0,0.0,1.0,0.0
@BBC,Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX,Mon Mar 19 12:30:05 +0000 2018,32,0.0,0.0,1.0,0.0
@BBC,RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz,Mon Mar 19 11:50:58 +0000 2018,33,-0.0516,0.0,0.893,0.107
@BBC,"Have you got a passion for plants? 🌿🌸🌱🍃🌷

Test your knowledge of all things foliage in this quiz. 👉… https://t.co/evogV5ljAc",Mon Mar 19 11:33:04 +0000 2018,34,0.4588,0.143,0.857,0.0
@BBC,"RT @BBCSport: 🎉 The Commonwealth Games are almost upon us! 🎉

Scotland's Lynsey Sharp has given us the inside track on preparing for succes…",Mon Mar 19 10:53:19 +0000 2018,35,0.0,0.0,1.0,0.0
@BBC,The oldest dog that the Dogs Trust has ever looked after has been given a new home. ❤️️🐶https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj,Mon Mar 19 10:33:03 +0000 2018,36,0.5106,0.163,0.837,0.0
@BBC,"RT @BBCR1: Desperately searching for any signs of spring like... 🌸

#MondayMotivation https://t.co/9jo3h4C7bu",Mon Mar 19 09:58:24 +0000 2018,37,-0.3818,0.0,0.809,0.191
@BBC,"RT @BBCRadioWales: ❄️ Snowy Cardiff! ⛄️ 

What’s it like for you?

#ButePark 
#Cardiff 
#MiniBeast
#Snow https://t.co/O8gY1qjHVE",Mon Mar 19 09:58:15 +0000 2018,38,0.4199,0.157,0.843,0.0
@BBC,"RT @BBCNews: Stem cell transplant ""game changer"" for MS patients https://t.co/BGWtdtXUAP",Mon Mar 19 09:58:10 +0000 2018,39,0.0,0.0,1.0,0.0
@BBC,RT @BBCBreakfast: Anyone want to play a game of spot Tracey's feet? Our floor manager Tracey had to dive behind the sofa to avoid being on…,Mon Mar 19 09:57:58 +0000 2018,40,0.128,0.133,0.789,0.079
@BBC,"'Who wants a normal life?' We should all be a little more like @chessmartinez. 👏💖 #LiveAtTheApollo

https://t.co/VddL8zWJfS",Mon Mar 19 09:32:02 +0000 2018,41,0.3642,0.152,0.848,0.0
@BBC,"RT @BBCWthrWatchers: Some incredible photos sent in last night of the #Auroraborealis from Skye Woody, Cumbrian stargazer and DJStewie.  Di…",Mon Mar 19 09:27:50 +0000 2018,42,0.0,0.0,1.0,0.0
@BBC,Beautiful spring blossom in south-west China has been captured by drone https://t.co/WTo7JjiKXw,Mon Mar 19 08:45:02 +0000 2018,43,0.5994,0.262,0.738,0.0
@BBC,"🤔 Should we still be worried about the hole in the ozone layer?

🌤 @SimonOKing and @clarenasir investigate in their… https://t.co/SZV3Df9y0t",Mon Mar 19 08:02:00 +0000 2018,44,-0.296,0.0,0.891,0.109
@BBC,"🏃💪 @LesDennis, @SimplySusannah, @Tameka_Empson and Miles Jupp embark on a muscle-grinding mission to regain their f… https://t.co/B1rXaalmk2",Sun Mar 18 20:30:11 +0000 2018,45,0.0,0.0,1.0,0.0
@BBC,👎💌 Fans of K-Pop boyband member @IBGDRGN have been asked to stop sending fan mail to the army base where he's doing… https://t.co/ojtDZ3gMfb,Sun Mar 18 20:03:04 +0000 2018,46,0.0258,0.09,0.824,0.086
@BBC,"Saoirse Ronan stars as Eilis, a young girl who jumps at the chance of a better life when she emigrates to New York.… https://t.co/NtHAfh6cjZ",Sun Mar 18 19:33:04 +0000 2018,47,0.5994,0.197,0.803,0.0
@BBC,"Ruth Ellis was only 28 when she became the last woman hanged to death in the UK. 

#TheRuthEllisFiles | Watch on… https://t.co/5kUIFtom7t",Sun Mar 18 18:44:02 +0000 2018,48,-0.5994,0.0,0.837,0.163
@BBC,"RT @BBC_TopGear: 840bhp goes a little like this…

@Matt_LeBlanc takes the Dodge Challenger SRT #Demon to the drag strip in this Sunday’s @T…",Sun Mar 18 18:34:14 +0000 2018,49,0.204,0.151,0.772,0.077
@BBC,"RT @bbcthree: Be honest, do you think you'll be this fit at 81? https://t.co/Eca0uGCF6b",Sun Mar 18 17:18:12 +0000 2018,50,0.7331,0.34,0.66,0.0
@BBC,"🍎🗑 How much food do you throw away? If you're a typical Brit, you probably think it's hardly any.

You're in denial… https://t.co/0bSCbRrZJr",Sun Mar 18 17:04:03 +0000 2018,51,0.0,0.0,1.0,0.0
@BBC,"❤️️📸Zun Lee wants his photography to give a balanced and nuanced portrayal of black fatherhood.

👉… https://t.co/LodRrr27fd",Sun Mar 18 16:33:17 +0000 2018,52,0.0,0.0,1.0,0.0
@BBC,"🤰 A doctor explains why you can get pregnant and give birth without having a baby bump. 
👉 https://t.co/nVrSpQoTOT https://t.co/iEEOjZdBKL",Sun Mar 18 15:41:04 +0000 2018,53,0.0,0.0,1.0,0.0
@BBC,RT @BBCEngland: A number of runners have held their own half-marathon in Reading after the official event was called off due to the snowy w…,Sun Mar 18 14:33:07 +0000 2018,54,0.0772,0.053,0.947,0.0
@BBC,RT @BBCSport: They’ve done it! Gold for GB’s Menna Fitzpatrick and Jen Kehoe in the visually impaired slalom at the Winter Paralympics. And…,Sun Mar 18 14:28:23 +0000 2018,55,0.0,0.0,1.0,0.0
@BBC,📱🚗 Why a rise in electric cars could also mean a hike in the cost of your next phone. https://t.co/6i5xFQgRIW,Sun Mar 18 14:18:01 +0000 2018,56,0.0,0.0,1.0,0.0
@BBC,RT @BBC6Music: ✏️ Which song has the greatest opening line?,Sun Mar 18 14:08:37 +0000 2018,57,0.6369,0.318,0.682,0.0
@BBC,🎤Pop music is awash with those that released one hit album and never followed it up. Here are 7 huge artists that o… https://t.co/4ukT9drcdG,Sun Mar 18 13:45:03 +0000 2018,58,0.3182,0.095,0.905,0.0
@BBC,"🍔😲 Would you eat a burger pie?  
#BackInTimeForTea https://t.co/zGWzJwdSlM",Sun Mar 18 13:00:08 +0000 2018,59,0.0,0.0,1.0,0.0
@BBC,RT @BBCOne: If food is the language of love... https://t.co/5hnYovE94o,Sun Mar 18 12:29:50 +0000 2018,60,0.0,0.0,1.0,0.0
@BBC,"Ever wondered why David Bowie wore an eye patch?

Strange things artists have worn on stage and the reasons why. 
👉… https://t.co/8zSBXQkLvy",Sun Mar 18 11:43:04 +0000 2018,61,-0.4588,0.0,0.833,0.167
@BBC,"🍞🥖 Want to learn how to bake bread?

These easy to follow recipes and step-by-step videos will have you baking ever… https://t.co/iXEmj5WJdD",Sun Mar 18 10:30:04 +0000 2018,62,0.4939,0.174,0.826,0.0
@BBC,"“I regret spending £50,000 on my wedding.” https://t.co/6PxJsDf9dn https://t.co/eJdx7KMmmK",Sun Mar 18 10:00:08 +0000 2018,63,-0.4215,0.0,0.741,0.259
@BBC,"How to be 20 on the inside, even when you’re 80 on the outside... https://t.co/KB2mqpkrIB",Sun Mar 18 09:30:03 +0000 2018,64,0.0,0.0,1.0,0.0
@BBC,"RT @BBCNews: Snow and ice are bringing disruption to many parts of the UK - but they're not stopping everyone from having fun 🐶❄️

https://…",Sun Mar 18 09:19:33 +0000 2018,65,0.656,0.212,0.727,0.061
@BBC,"RT @bbc5live: The beast from the east is back ❄️🌨️

You've been in touch this morning with your #uksnow pics, here are just a few...

What'…",Sun Mar 18 09:10:02 +0000 2018,66,0.0,0.0,1.0,0.0
@BBC,"These seven celebrities are about to go on the journey of a lifetime... #Pilgrimage
https://t.co/m45UBXJew2",Sat Mar 17 20:02:01 +0000 2018,67,0.0,0.0,1.0,0.0
@BBC,Can we just take a moment to discuss Eddie Redmanyne's coats?https://t.co/odVkhWyRKs,Sat Mar 17 19:21:02 +0000 2018,68,0.0,0.0,1.0,0.0
@BBC,"Ouch! 😂🔥@GordonRamsay's daughter is hilarious... 
https://t.co/0dqwntX5uj",Sat Mar 17 18:32:01 +0000 2018,69,0.0,0.0,1.0,0.0
@BBC,"🐜1⃣2⃣3⃣Sir David Attenborough explores whether there is counting in the natural world. 

David Attenborough's Natur… https://t.co/Q4H4uXR4pt",Sat Mar 17 18:03:04 +0000 2018,70,0.3612,0.143,0.857,0.0
@BBC,One of the writers for The Simpsons has told @BBCNewsbeat Stephen Hawking was such a big fan of the show - he'd sho… https://t.co/Jjer3V4cYk,Sat Mar 17 17:30:07 +0000 2018,71,0.3182,0.099,0.901,0.0
@BBC,"🎓📚 'The moment I gave Reese Witherspoon my Legally Blonde dissertation... and yes, it was scented.'
👉… https://t.co/z8x5mqqKoW",Sat Mar 17 17:00:08 +0000 2018,72,0.4767,0.215,0.785,0.0
@BBC,RT @BBCWorld: Blossom in south-west China captured by drone https://t.co/gIDKUn1La6,Sat Mar 17 16:39:39 +0000 2018,73,0.0,0.0,1.0,0.0
@BBC,"This year, over 250 landmarks across the globe are going green for #StPatricksDay! 🍀 https://t.co/TlWqU0TXQT https://t.co/i4sW4OaGrQ",Sat Mar 17 15:03:12 +0000 2018,74,0.0,0.0,1.0,0.0
@BBC,"RT @BBCRadio3: ""Even if we found a complete theory of the universe, it wouldn't remove the need for music"" - #StephenHawking
https://t.co/t…",Sat Mar 17 14:43:43 +0000 2018,75,0.0,0.0,1.0,0.0
@BBC,⛷❤️ George has autism and other health conditions - but his love of skiing is helping him take on the outside world. https://t.co/kfCzRzkcNY,Sat Mar 17 14:00:30 +0000 2018,76,0.8625,0.301,0.699,0.0
@BBC,"RT @5liveSport: 'My mates didn't know I was playing @realmadrid'

@ManUtd's @carras16 tells @ColinMurray his friends keep him grounded…

'A…",Sat Mar 17 13:46:15 +0000 2018,77,0.3628,0.143,0.784,0.073
@BBC,"Yes, Gary Oldman and @BBCEastEnders' Big Mo are brother and sister. 

But do you know these other celeb family ties… https://t.co/dtzMwD3nBB",Sat Mar 17 13:00:08 +0000 2018,78,0.4019,0.119,0.881,0.0
@BBC,"RT @BBCOne: .@NiallOfficial won't let fame get to his head - Ireland won't allow it. 

Happy #StPatricksDay 🍀 https://t.co/OrWR94HStF",Sat Mar 17 12:39:41 +0000 2018,79,-0.7244,0.0,0.664,0.336
@BBC,♻️🗑 This shop encourages you to bring your own container from home to save on single-use plastic waste. https://t.co/TdHJSycKtO,Sat Mar 17 12:00:09 +0000 2018,80,0.5106,0.245,0.643,0.112
@BBC,🇮🇪 🍀 Celebrate #StPatricksDay in true Irish style with these delicious recipes! 👉https://t.co/2MCMlz6K0B https://t.co/k18P3Syx2N,Sat Mar 17 11:30:09 +0000 2018,81,0.8883,0.512,0.488,0.0
@BBC,From scrambled eggs to chilli-spiced crisps: here are six great ways to cook with kale. 😋👉https://t.co/lqKD1h83Iv https://t.co/yWESBJm62q,Sat Mar 17 11:03:05 +0000 2018,82,0.6249,0.204,0.796,0.0
@BBC,RT @BBCTwo: Happy #StPatricksDay! Check out what's lurking beneath the calm waters of Ireland's west coast... 🇮🇪🦈 https://t.co/6MQgyLTlIr,Sat Mar 17 10:14:25 +0000 2018,83,0.6996,0.276,0.658,0.066
@BBC,"🎶🐦 Did you know that bullfinches can learn to sing a tune by mimicking humans?

🔊 Sound on for this one!  https://t.co/44OFulioZp",Sat Mar 17 10:00:02 +0000 2018,84,0.0,0.0,1.0,0.0
